Subject,Course Number,Section,CRN,Course Title,Credit Hours,Campus,Schedule Type,Instructor,Attribute Type,Reserved Seats,Linked Sections,Unnamed: 12,Days,Start Time,End Time,Building,Room,Start Date,End Date,Total Enrolled,Open Enrolled,Total Waitlist,Open Waitlist
GEOG,2110,1,10351,Intro to Geographic Research,3,Main Campus or Dubois Campus,Lecture,Jamie Strickland (Primary),,,,,"Monday,Wednesday,Friday",12:20 PM,1:10 PM,McEniry,118,08/17/2026,12/10/2026,30,10,3,3
GEOG,2111,1,15710,Social inequality,3,Main Campus or Dubois Campus,Lecture,Tamara Johnson (Primary),Service Learning,,,,Monday,2:30 PM,5:15 PM,McEniry,118,08/17/2026,12/10/2026,25,25,2,2
GEOG,3000,4,17658,Topics in Regional Geography: Extinction in Space and Time,3,Main Campus or Dubois Campus,Lecture,Bill Garcia (Primary),,,,,"Tuesday,Thursday",4:00 PM,5:15 PM,McEniry,401,08/17/2026,12/10/2026,18,16,,
GEOG,3120,1,11102,Fndmntls Geographic Info Systm,4,Main Campus or Dubois Campus,Lecture,Jordan Blekking (Primary),,,,,"Tuesday,Thursday",1:00 PM,2:15 PM,McEniry,420,08/17/2026,12/10/2026WednesdaySMTWTFS02:30  PM - 05:15  PM Type: Class Building: McEniry Room: 420 Start Date: 08/17/2026 End Date: 12/10/2026,30,0,3,3
GEOG,3250,1,12024,World Food Problems,3,Main Campus or Dubois Campus,Lecture,Jamie Strickland (Primary),,,,,"Monday,Wednesday,Friday",10:10 AM,11:00 AM,McEniry,127,08/17/2026,12/10/2026,35,19,5,5
GEOG,4000,2,15805,Topics in Geography: Environmental Policy Analysis,3,Main Campus or Dubois Campus,Lecture,Isabelle Nilsson (Primary),,,,,"Tuesday,Thursday",11:30 AM,12:45 PM,McEniry,117,08/17/2026,12/10/2026,0,0,,
GEOG,4000,4,17723,Topics in Geography: Water Management and Policy in the U.S.,3,Main Campus or Dubois Campus,Lecture,Alexandra Turgul (Primary),,,,,"Tuesday,Thursday",1:00 PM,2:15 PM,McEniry,201,08/17/2026,12/10/2026,15,12,,
GEOG,4180,1,11103,Web GIS,3,Main Campus or Dubois Campus,Lecture,Wenwu Tang (Primary),,,,,"Tuesday,Thursday",1:00 PM,2:15 PM,McEniry,431,08/17/2026,12/10/2026,20,15,2,2
GEOG,5000,2,17724,Topics in Geography: Water Management and Policy in the U.S.,3,Main Campus or Dubois Campus,Lecture,Alexandra Turgul (Primary),,,,,"Tuesday,Thursday",1:00 PM,2:15 PM,McEniry,201,08/17/2026,12/10/2026,5,3,,
GEOG,5180,1,12012,Web GIS,3,Main Campus or Dubois Campus,Lecture,Wenwu Tang (Primary),,,,,"Tuesday,Thursday",1:00 PM,2:15 PM,McEniry,431,08/17/2026,12/10/2026,10,9,3,3
GEOG,6005,2,14189,Topics in Earth and Environmental Systems: Climate Science,3,Main Campus or Dubois Campus,Lecture,Ian Chang (Primary),,,,,"Tuesday,Thursday",1:00 PM,2:15 PM,McEniry,116,08/17/2026,12/10/2026,10,0,,
GEOG,6125,1,12081,Geographic Information Science and Technology,4,Main Campus or Dubois Campus,Lecture/Lab,Yao Li (Primary),,,,,"Tuesday,Thursday",10:00 AM,11:15 AM,McEniry,431,08/17/2026,12/10/2026TuesdaySMTWTFS02:30  PM - 05:15  PM Type: Class Building: McEniry Room: 431 Start Date: 08/17/2026 End Date: 12/10/2026,10,0,,
GEOG,6130,1,15581,Teaching and Learning in the Geosciences,3,Main Campus or Dubois Campus,Lecture,Casey Davenport (Primary),,,,,"Tuesday,Thursday",10:00 AM,11:15 AM,McEniry,203,08/17/2026,12/10/2026,5,2,,
GEOG,6210,1,15579,The Restructuring City,3,Main Campus or Dubois Campus,Lecture,Colleen Hammelman (Primary),,,,,Wednesday,2:30 PM,5:15 PM,McEniry,117,08/17/2026,12/10/2026,10,0,1,1
GEOG,8005,1,14051,Topics in Earth and Environmental Systems: Climate Science,3,Main Campus or Dubois Campus,Lecture,Ian Chang (Primary),,,,,"Tuesday,Thursday",1:00 PM,2:15 PM,McEniry,116,08/17/2026,12/10/2026,3,3,,
GEOG,8125,1,11571,Geographic Information Science and Technology,4,Main Campus or Dubois Campus,Lecture,Yao Li (Primary),,,,,"Tuesday,Thursday",10:00 AM,11:15 AM,McEniry,431,08/17/2026,12/10/2026TuesdaySMTWTFS02:30  PM - 05:15  PM Type: Class Building: McEniry Room: 431 Start Date: 08/17/2026 End Date: 12/10/2026,10,7,,
GEOG,8130,1,15582,Teaching and Learning in the Geosciences,3,Main Campus or Dubois Campus,Lecture,Casey Davenport (Primary),,,,,"Tuesday,Thursday",10:00 AM,11:15 AM,McEniry,203,08/17/2026,12/10/2026,5,2,,
GEOG,8210,1,15580,The Restructuring City,3,Main Campus or Dubois Campus,Lecture,Colleen Hammelman (Primary),,,,,Wednesday,2:30 PM,5:15 PM,McEniry,117,08/17/2026,12/10/2026,10,7,1,1
GEOG,8224,1,15807,Biogeochemical Cycles,3,Main Campus or Dubois Campus,Lecture,Craig Allan (Primary),,,,,Wednesday,5:30 PM,8:15 PM,McEniry,201,08/17/2026,12/10/2026,5,5,,
GEOG,8632,1,11603,Ph.D. Professional Development Seminar in Geography,1,Main Campus or Dubois Campus,Seminar,Colleen Hammelman (Primary),,,,,Wednesday,10:10 AM,11:00 AM,McEniry,118,08/17/2026,12/10/2026,15,7,2,2
GEOL,1200,1,10399,Physical Geology (no lab),3,Main Campus or Dubois Campus,Lecture,Amanda Stone (Primary),Student Data Mart - Gen Ed,,,,"Tuesday,Thursday",10:00 AM,11:15 AM,McEniry,125,08/17/2026,12/10/2026,180,153,10,10
GEOL,1200,3,10398,Physical Geology (no lab),3,Main Campus or Dubois Campus,Lecture,Christoffel Anthonissen (Primary),Student Data Mart - Gen Ed,,,,"Monday,Wednesday",2:30 PM,3:45 PM,McEniry,124,08/17/2026,12/10/2026,100,76,10,10
GEOL,1200L,L01,10473,Physical Geology Lab,1,Main Campus or Dubois Campus,Lab,Bill Garcia (Primary),Student Data Mart - Gen Ed,,,,Monday,8:00 AM,10:45 AM,McEniry,106,08/17/2026,12/10/2026,20,17,2,2
GEOL,1200L,L02,10474,Physical Geology Lab,1,Main Campus or Dubois Campus,Lab,Bill Garcia (Primary),Student Data Mart - Gen Ed,,,,Monday,11:15 AM,2:00 PM,McEniry,106,08/17/2026,12/10/2026,20,8,2,2
GEOL,1200L,L03,10475,Physical Geology Lab,1,Main Campus or Dubois Campus,Lab,Bill Garcia (Primary),Student Data Mart - Gen Ed,,,,Monday,2:30 PM,5:15 PM,McEniry,106,08/17/2026,12/10/2026,20,10,2,2
GEOL,1200L,L05,10476,Physical Geology Lab,1,Main Campus or Dubois Campus,Lab,Bill Garcia (Primary),Student Data Mart - Gen Ed,,,,Tuesday,2:30 PM,5:15 PM,McEniry,106,08/17/2026,12/10/2026,20,5,2,2
GEOL,1200L,L06,10477,Physical Geology Lab,1,Main Campus or Dubois Campus,Lab,Bill Garcia (Primary),Student Data Mart - Gen Ed,,,,Wednesday,8:00 AM,10:45 AM,McEniry,106,08/17/2026,12/10/2026,20,17,2,2
GEOL,1200L,L08,11512,Physical Geology Lab,1,Main Campus or Dubois Campus,Lab,Bill Garcia (Primary),Student Data Mart - Gen Ed,,,,Wednesday,11:15 AM,2:00 PM,McEniry,106,08/17/2026,12/10/2026,20,1,2,2
GEOL,1200L,L09,10479,Physical Geology Lab,1,Main Campus or Dubois Campus,Lab,Bill Garcia (Primary),Student Data Mart - Gen Ed,,,,Wednesday,2:30 PM,5:15 PM,McEniry,106,08/17/2026,12/10/2026,20,5,2,2
GEOL,1200L,L11,10482,Physical Geology Lab,1,Main Campus or Dubois Campus,Lab,Bill Garcia (Primary),Student Data Mart - Gen Ed,,,,Thursday,2:30 PM,5:15 PM,McEniry,106,08/17/2026,12/10/2026,20,12,2,2
GEOL,1200L,L90,17399,Physical Geology Lab,1,Main Campus or Dubois Campus,Lab,Bill Garcia (Primary),Student Data Mart - Gen Ed,,,,Tuesday,5:30 PM,8:15 PM,McEniry,106,08/17/2026,12/10/2026,20,18,,
GEOL,3105,1,15577,The Earth's Mineral Resources: Sustainability and the Environmental Impacts of Recovery,3,Main Campus or Dubois Campus,Lecture,Amanda Stone (Primary),,,,,"Monday,Wednesday,Friday",12:20 PM,1:10 PM,McEniry,401,08/17/2026,12/10/2026,40,0,2,2
GEOL,3115,1,11513,Mineralogy,4,Main Campus or Dubois Campus,Lecture,Valerie Reynolds (Primary),,,,,"Tuesday,Thursday",10:00 AM,11:15 AM,McEniry,303,08/17/2026,12/10/2026TuesdaySMTWTFS02:30  PM - 05:15  PM Type: Class Building: McEniry Room: 303 Start Date: 08/17/2026 End Date: 12/10/2026,18,7,4,4
GEOL,3130,1,10401,Structural Geology,4,Main Campus or Dubois Campus,Lecture,Andy Bobyarchick (Primary),,,,,"Tuesday,Thursday",1:00 PM,2:15 PM,McEniry,301,08/17/2026,12/10/2026TuesdaySMTWTFS02:30  PM - 05:15  PM Type: Class Building: McEniry Room: 301 Start Date: 08/17/2026 End Date: 12/10/2026,20,11,2,2
